coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
XRP/USDT,0.0010777991735199904,0.0012311584806582554,0.0007621750602321387,0.0007796577847499885,0.0005142153139888228,0.0006228273240017,0.00022859541822012122,0.0002360203978179766,0.0008291466379826307,0.0009120537725571176,-0.19241973872148163,1.25e-05,70137269.82599999,196428177.81729996
GMX/USDT,0.001000257270988844,0.001943946773467697,0.0004806379185326618,0.00048423174759788486,0.0010305737255969752,0.0020108991436286324,0.0002886305227374985,0.00031750946637469196,0.0009140967077423342,0.001985907274280523,-0.20457557773421275,1.25e-05,1723420.091,1384279.37104
RENDER/USDT,0.0011531499119979967,0.0016156153471877318,0.0004674743606100633,0.00044829876279575004,0.0010178261225669896,0.0014559551525208337,0.00036584614117755177,0.00030927364617439903,0.0012829721455946382,0.0018007287903030408,-0.2425614418456572,1.25e-05,5491127.232360001,3189884.44876
SOL/USDT,0.0006450944639605437,0.0007610169628182983,0.00046179996541940375,0.00047365088305920876,0.0005640755065514438,0.0006611633463805151,0.00016930420832525682,0.00017742348998401691,0.0006722483722353765,0.0007618917449480456,-0.24268237648395352,1.25e-05,311217805.78080004,713908561.1623002
FIL/USDT,0.0008548574767712085,0.00126653885330183,0.0004916592350636471,0.0004681787518351077,0.000866286455901095,0.0012560009164496754,0.0003481745008613049,0.00035971609582139156,0.001474507195203059,0.0018918369701788275,-0.24546336503321806,1.25e-05,2262114.16652,5206399.7241
ENS/USDT,0.0006360715283693215,0.0011421089298635561,0.0005242594678073817,0.0005108010404321819,0.0005762462462119187,0.0010882626678874049,0.0003007356637736941,0.0003393959169712979,0.0004984379309855566,0.0008309803066489845,-0.27858755392292867,1.25e-05,1479652.01884,3360979.49054
IMX/USDT,0.00022672984479759088,0.0010245830749124934,0.00038585624650008853,0.0003545175404156981,6.731686152317514e-05,0.0007736755144505948,0.00027363048594672613,0.00022427600104884602,0.00036313473123599985,0.0010624156041565173,-0.33326058073003273,1.25e-05,920630.6618399998,1174544.91036
WLD/USDT,0.0006373374077890618,0.0010195611411290423,0.0008509977667848957,0.0008081798923735541,-0.00037523244729649127,0.00010539628531914874,0.00032954183092782235,0.0003907796439325177,-0.0005333121727297301,-6.667579480435952e-05,-0.3369965634441664,1.25e-05,13308733.486499999,19734704.84678
BNB/USDT,0.0008572415244560346,0.0010435202166827501,0.0005794114367118784,0.0005882560396313414,0.00020516000969768774,0.0003628457644032707,0.00020203099016456694,0.00019540807667573504,0.00037731723410074937,0.0004472351330138254,-0.36448773949267604,1.25e-05,25028468.248,39183323.53861
ADA/USDT,-0.00033039209307350733,0.0001272701947374642,0.00032823190950933173,0.000332585101901802,-0.0004519972176833807,4.2965821064646854e-05,0.0002248289858400383,0.00021592745022487177,-0.0004574256850209014,9.15426111849708e-05,-0.37179883378150913,1.25e-05,9208675.86072,21719256.76918001
BCH/USDT,0.0003985220780691258,0.0009620249132094498,0.00046849826624206537,0.00045628016521305574,-1.7433323716412855e-05,0.0006231669175644915,0.0002131987114418838,0.0002870234831526382,0.00020202345327988846,0.0008082785736017134,-0.3971074756655253,1.25e-05,1984236.3993,7480555.60567
AAVE/USDT,0.0008168175033783566,0.001255663692546966,0.0005716192659066017,0.0005494751262142219,0.000654998743450488,0.0011647918621691983,0.0006618587422755474,0.0005811482118065178,-0.0001820436729912788,0.000425963009533382,-0.39718153031104414,1.25e-05,29766575.588400003,79667739.08120005
