coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
AR/USDT,0.001144998861225017,0.0021935479271436398,0.00045489565359830333,0.0004274331451578089,0.00128518007466143,0.0022775432519823017,0.0003964525762803128,0.0003091165797672284,0.0018610597143809062,0.0023615124223451177,-0.044798434707932655,1.25e-05,2059301.4155599999,4334343.00514
ENS/USDT,0.0006380062209187676,0.0011450225230388174,0.0005087562777912866,0.0004941870033755086,0.0006422438616698596,0.0011414462302889576,0.0002483253602354134,0.00024369890083352261,0.0012988945893109755,0.0017603513997975957,-0.08094267796936987,1.25e-05,1514954.04474,3452638.53471
LDO/USDT,0.0007925345967489914,0.001383221437881027,0.0006627932511665027,0.000648490489052157,0.0009117175340833583,0.0014895731596550694,0.0003694440716845249,0.0003849755726117575,0.0009550785370416722,0.0016504763334916673,-0.13635169082540977,1.25e-05,14937835.0608,44178460.02990999
STRK/USDT,0.00036526703999642984,0.0009226932892377315,0.00047480799611616654,0.0004016901280085228,0.0005281549469547743,0.0009685835572163948,0.0002549432025008255,0.0002453820974847811,0.0005831906353540977,0.000993374355656632,-0.15866132145606676,1.25e-05,2152377.92538,4338759.793433
WIF/USDT,0.00010499142649987009,0.0007630413389222081,0.0005998674735699331,0.0005555655376914806,-0.0002970068739561871,0.0004581004883964336,0.00037417081696744834,0.0003829731140010188,-3.6271424689260754e-05,0.0007980036744181996,-0.18617357383413335,1.25e-05,25207979.62,39025692.5167
GMX/USDT,0.0010011533865150557,0.0019378304153873102,0.0005072048409656257,0.0005078741659543747,0.0010890025369652662,0.0021083416609534037,0.00028682094160014065,0.00026096382253039326,0.0013262599469495266,0.002203301089747267,-0.19810043430081,1.25e-05,1723080.51272,1391840.95339
FIL/USDT,0.000855988166231204,0.0012648827853204729,0.0004554295550045166,0.00044506966808207114,0.0008641251621482466,0.0012710044336907327,0.0003644107811978784,0.0003679667803705982,0.0005411090446597796,0.0009921607810620663,-0.22266721765242525,1.25e-05,2387043.4239999996,5172109.02461
LTC/USDT,0.0011589761998944087,0.0016672850070513464,0.0005362096854618755,0.0005222164522356456,0.001119801723374842,0.001559563410403412,0.000274615141476094,0.0003205094523716425,0.0010748394465042138,0.0016540088205592915,-0.25642028274358625,1.25e-05,55708493.855,43959808.66399999
SUSHI/USDT,0.0009280891650823978,0.0018360512741899839,0.0005725960216723933,0.0005728305517993504,0.0007555188434068172,0.0016478560572033675,0.0002494274297810671,0.0003740731850335884,0.0010397276490757244,0.0015602652908215968,-0.2914874057661094,1.25e-05,811782.6048,1854776.60815
PNUT/USDT,0.00021603702837666281,0.0010299652491654013,0.0007462065282048306,0.0009182037507458389,5.0771905372754603e-05,0.0008979840758283734,0.0003932997970478128,0.0004073875352524999,-0.00037413717341960417,0.0005615927761567597,-0.3259832131993685,1.25e-05,4475359.2981,12683427.806144
